campus,building_name,location
SBU WEST,Administration,"MULTIPOINT((40.91497659029892 -73.11997518217233),(40.91474466814037 -73.1207623335315),(40.91444080593378 -73.1202351978741))"
SBU R&D,Advanced Energy Research and Technology Center (AERTC),MULTIPOINT((40.90392938998024 -73.13555542572172))
SBU EAST,Ambulatory Surgery Center,MULTIPOINT((40.90505336945054 -73.1157009058067))
SBU WEST,Ammann College,"MULTIPOINT((40.91788496347169 -73.12134063629794),(40.9186632534265 -73.12115288166703))"
SBU WEST,"Arena, Island Federal Credit Union","MULTIPOINT((40.917199932344616 -73.12636790442399),(40.91717030312117 -73.12553126575595))"
SBU WEST,Athletic Indoor Practice Facility,MULTIPOINT((40.920863571906835 -73.12306479586367))
SBU WEST,Baruch College,"MULTIPOINT((40.914168580590584 -73.13170959838394),(40.91387681046697 -73.1319552958412),(40.91360714299498 -73.1317183732932))"
SBU EAST,Basic Sciences Tower,MULTIPOINT((40.9103825644245 -73.11677243646399))
SBU WEST,Benedict College,"MULTIPOINT((40.91993567794141 -73.11867301437455),(40.919685608326326 -73.11883978889318),(40.91940497969281 -73.11889861850645))"
SBU WEST,Bioengineering,MULTIPOINT((40.91222135501718 -73.12036142790112))
SBU EAST,Cancer Center,"MULTIPOINT((40.90909564298397 -73.11685010030001),(40.90885538534791 -73.1171334877802),(40.90812815902918 -73.11736127695809))"
SBU WEST,Cardozo College,MULTIPOINT((40.91082582645205 -73.124763473545))
SBU EAST,Carol M. Baldwin Breast Care Center,MULTIPOINT((40.906119415514226 -73.1151496701097))
SBU R&D,Center of Excellence in Wireless and Information Technology (CEW),"MULTIPOINT((40.90264297275221 -73.13436582936835),(40.902255239281786 -73.1342506219813))"
SBU WEST,Centers for Molecular Medicine (CMM),"MULTIPOINT((40.91223631254207 -73.11943516186533),(40.91188479312204 -73.11964541501347))"
SBU WEST,Central Services (Receiving),MULTIPOINT((40.91685547261306 -73.12764660648891))
SBU WEST,Central Stores (Warehouse),MULTIPOINT((40.917281216626655 -73.12815008971039))
SBU SOUTH,Challenger Hall,MULTIPOINT((40.904907064189636 -73.11807652406146))
SBU EAST,Chapin Apartments,MULTIPOINT((40.90724441260379 -73.10937829442415))
SBU WEST,Charles B. Wang Center,"MULTIPOINT((40.9156682629007 -73.11973959483315),(40.915780688230896 -73.12052629187347),(40.915902137421824 -73.11885654353257))"
SBU WEST,Chávez Hall,"MULTIPOINT((40.917033311112185 -73.12008867151951),(40.9165266569165 -73.12027133540958),(40.916956533525195 -73.12115854209536))"
SBU WEST,Chemistry,"MULTIPOINT((40.916202354301575 -73.12352486047808),(40.91661089428735 -73.12353637017617))"
SBU SOUTH,Child Care Center,MULTIPOINT((40.89861628747049 -73.12901684987483))
SBU EAST,Children’s Hospital,MULTIPOINT((40.90933735732094 -73.11599054780552))
SBU WEST,CoGen Plant,MULTIPOINT((40.916798828750935 -73.12881041604136))
SBU WEST,"Computer Science, New",MULTIPOINT((40.9126334305509 -73.12366128784795))
SBU WEST,"Computer Science, Original","MULTIPOINT((40.912629615541434 -73.1227698616392),(40.912517078895696 -73.12177295731696),(40.91353931849652 -73.12270950278769),(40.912365537914454 -73.12261630928717))"
SBU WEST,Computing Center,"MULTIPOINT((40.91319498790706 -73.12584349917948),(40.912893565244964 -73.12632173312976))"
SBU SOUTH,Dana Hall,MULTIPOINT((40.90614657339042 -73.11940935839718))
SBU WEST,Dewey College,"MULTIPOINT((40.913116175828875 -73.13110858233543),(40.91323174766717 -73.13140250026167),(40.9135947141582 -73.1313642670355))"
SBU SOUTH,Discovery Hall,MULTIPOINT((40.904168779135716 -73.11848444800646))
SBU WEST,Douglass College,"MULTIPOINT((40.908831623643884 -73.12663334062553), (40.9088256582915 -73.12663610147307), (40.909165301333616 -73.1261786537777))"
SBU WEST,Dreiser College,MULTIPOINT((40.90890486308464 -73.1274839456325))
SBU SOUTH,Dutchess Hall,MULTIPOINT((40.90537035981121 -73.11908214108273))
SBU WEST,Earth and Space Sciences,"MULTIPOINT((40.914859718999985 -73.12568854388567), (40.91540124291963 -73.12564925536545), (40.91465239848617 -73.12491798214927))"
SBU WEST,East Side Dining,"MULTIPOINT((40.91696546269782 -73.12085132464594))"
SBU WEST,Educational Communications Center (ECC),MULTIPOINT((40.913386635352055 -73.12275653958427))
SBU WEST,Eisenhower College,"MULTIPOINT((40.914311228172764 -73.13198702284122), (40.914655080155946 -73.13193738445992), (40.91477699088416 -73.13147616116714))"
SBU SOUTH,Endeavour Hall,MULTIPOINT((40.90430992555595 -73.11776463861784))
SBU WEST,Engineering,"MULTIPOINT((40.91306685848932 -73.12442535257173), (40.91374886173387 -73.12445984116599), (40.91337825090078 -73.1245356205961))"
SBU WEST,Fine Arts Center,MULTIPOINT((40.916008202302024 -73.12150608748196))
SBU WEST,Frey Hall,"MULTIPOINT((40.91558563627136 -73.12388067917774), (40.91602175567831 -73.12390741838294), (40.915361540616615 -73.12393908213986))"
SBU WEST,Gershwin College,"MULTIPOINT((40.910988956690176 -73.12247600628783), (40.91117565346732 -73.12246191244634), (40.91137936810107 -73.1225142155221))"
SBU WEST,Gray College,"MULTIPOINT((40.91753538736721 -73.12130965296632), (40.917860711670265 -73.12124335524638), (40.91784865226326 -73.12049623236568))"
SBU WEST,Greeley College,"MULTIPOINT((40.91215864563083 -73.13090559511102), (40.91199664055267 -73.13104841459155), (40.91176252288242 -73.131036344651))"
SBU WEST,H Quad,MULTIPOINT((40.919756146972624 -73.11955512286765))
SBU WEST,Hamilton College,"MULTIPOINT((40.913866613495436 -73.13105894332803),(40.9139308270296 -73.130532294643),(40.913634342294905 -73.1303201794482))"
SBU WEST,Hand College,"MULTIPOINT((40.90964538203458 -73.12625867736341), (40.90997155204449 -73.12623790521056), (40.90961078938666 -73.12577267915454))"
SBU WEST,Harriman Hall,MULTIPOINT((40.91582015595291 -73.12526272172866))
SBU EAST,Health Sciences Tower,MULTIPOINT((40.9097922281168 -73.11617248540063))
SBU WEST,Heavy Engineering,MULTIPOINT((40.91242736843378 -73.12588547138193))
SBU WEST,Hendrix College,MULTIPOINT((40.91187102927226 -73.12304116569398))
SBU WEST,Hilton Garden Inn,MULTIPOINT((40.91369410378366 -73.11832343942382))
SBU EAST,Hospital,MULTIPOINT((40.909405446879596 -73.11528861142965))
SBU WEST,Humanities,MULTIPOINT((40.913915998658254 -73.12102899599914))
SBU R&D,Innovation and Discovery Center,MULTIPOINT((40.90129870740744 -73.1342352175606))
SBU WEST,Institute for Advanced Computational Science (IACS),MULTIPOINT((40.91207566324339 -73.12101518889874))
SBU WEST,Irving College,MULTIPOINT((40.91770846949656 -73.11970772716211))
SBU WEST,James College,"MULTIPOINT((40.919324650336996 -73.12023339315878), (40.91955196355861 -73.12093161517626))"
SBU WEST,Javits Lecture Center,MULTIPOINT((40.912954128534594 -73.1220820245197))
SBU WEST,Joe Nathan Field,MULTIPOINT((40.92356614587029 -73.12233700990757))
SBU WEST,Keller College,"MULTIPOINT((40.91144342539594 -73.1299112060979), (40.91169847677204 -73.12962536307296), (40.91167397741812 -73.130700724251))"
SBU WEST,Kelly Quad,MULTIPOINT((40.913657152125225 -73.13159452597198))
SBU WEST,Kenneth P. LaValle Athletic Stadium,MULTIPOINT((40.91884321420275 -73.1243075400952))
SBU WEST,Langmuir College,MULTIPOINT((40.92013918911394 -73.12009516212385))
SBU WEST,Lauterbur Hall,MULTIPOINT((40.91266088413283 -73.12988415532304))
SBU WEST,"Library, Chemistry",MULTIPOINT((40.916550470467364 -73.12367757413834))
SBU WEST,"Library, Frank Melville Jr. Memorial",MULTIPOINT((40.915457166827466 -73.12272160736028))
SBU WEST,"Library, Health Sciences",MULTIPOINT((40.910063519486656 -73.11683113979603))
SBU WEST,"Library, Math, Physics, and Astronomy",MULTIPOINT((40.91620270241176 -73.12601679827783))
SBU WEST,"Library, Music",MULTIPOINT((40.91571087216154 -73.12294497539952))
SBU WEST,Life Sciences,"MULTIPOINT((40.911711076774594 -73.12040259128905), (40.91149113413189 -73.11976034186004))"
SBU WEST,Light Engineering,"MULTIPOINT((40.91328139791504 -73.12539266788004), (40.91378061880956 -73.12522351558898))"
SBU EAST,Long Island High Technology Incubator,MULTIPOINT((40.912430340115755 -73.11357296638988))
SBU EAST,Long Island State Veterans Home,MULTIPOINT((40.90565188011427 -73.10324757516814))
SBU WEST,Louis and Beatrice Laufer Center for Physical and Quantitative Biolo,MULTIPOINT((40.91172442753085 -73.12084863115493))
SBU SOUTH,Marine and Atmospheric Sciences Information Center (MASIC),MULTIPOINT((40.90461298584294 -73.118327198692))
SBU WEST,Math Tower,"MULTIPOINT((40.91590575967281 -73.12622772133287), (40.91571140963357 -73.12652942274602))"
SBU EAST,Medical and Research Translation (MART),MULTIPOINT((40.90883917949612 -73.11714942648763))
SBU WEST,Mendelsohn Quad,MULTIPOINT((40.918139210754745 -73.12019142693184))
SBU WEST,Mount College,MULTIPOINT((40.91159200752357 -73.12445225347832))
SBU SOUTH,Nassau Hall,MULTIPOINT((40.906052549736295 -73.12128731937827))
SBU WEST,New York State Department of Environmental Conservation (DEC),MULTIPOINT((40.92162812393477 -73.12018241543095))
SBU WEST,Nobel Halls,MULTIPOINT((40.91271514017363 -73.12949044620831))
SBU WEST,O’Neill College,"MULTIPOINT((40.91863853197999 -73.12018828871692), (40.91768973553143 -73.11902332991981))"
SBU EAST,Pain Management Center,MULTIPOINT((40.90571401079865 -73.11495160529427))
SBU WEST,"Parking, North P",MULTIPOINT((40.92137650214365 -73.12770952012748))
SBU SOUTH,"Parking, South P",MULTIPOINT((40.89758167626682 -73.12745955846981))
SBU WEST,Paul W. Zuccaire Gallery,MULTIPOINT((40.91581221007872 -73.12125941424385))
SBU WEST,Physics,"MULTIPOINT((40.91604324075051 -73.12589045453072), (40.91640888464476 -73.1263959055581))"
SBU EAST,Point of Woods Buildings,MULTIPOINT((40.914147377897514 -73.11497631263582))
SBU WEST,Pritchard Gymnasium,"MULTIPOINT((40.91714171299565 -73.12538130416968), (40.91780561190515 -73.12524579630733))"
SBU WEST,Psychology A,MULTIPOINT ((40.9145574642273 -73.12247735218344))
SBU WEST,Psychology B,MULTIPOINT ((40.91412685156592 -73.12203162233412))
SBU SOUTH,Putnam Hall,MULTIPOINT((40.905986759819505 -73.11995591877876))
SBU R&D,Research & Support Services (RSS),MULTIPOINT((40.895382470323256 -73.1426195063928))
SBU SOUTH,Rockland Hall,MULTIPOINT((40.90372071670681 -73.11982615726545))
SBU WEST,Roosevelt Quad,MULTIPOINT((40.911873863042395 -73.1302838483186))
SBU WEST,Roth Café,MULTIPOINT((40.91085221484643 -73.12412994215275))
SBU WEST,Roth Quad,MULTIPOINT((40.911552226371555 -73.12412745324038))
SBU WEST,Sanger College,MULTIPOINT((40.90960506009835 -73.12827047774432))
SBU WEST,Schick College,MULTIPOINT((40.91416700649239 -73.13106005184815))
SBU WEST,Schomburg Apartments,MULTIPOINT((40.91320366519435 -73.1324684637972))
SBU WEST,Schomburg Center,MULTIPOINT((40.91350737597942 -73.13277714573611))
SBU WEST,"Schomburg, Building A",MULTIPOINT((40.91348415565053 -73.13201311138666))
SBU WEST,"Schomburg, Building B",MULTIPOINT((40.91291163681365 -73.13292366304142))
SBU WEST,Service Group,MULTIPOINT((40.91606151235349 -73.12786453216586))
SBU WEST,Simons Center for Geometry and Physics,MULTIPOINT((40.915752071422226 -73.12691494746768))
SBU WEST,"Social and Behavioral Sciences, Ward Melville",MULTIPOINT((40.91313777821895 -73.12019380602808))
SBU WEST,"Social, Cognitive and Affective Neuroscience (SCAN) Center",MULTIPOINT((40.910804487101416 -73.11991114536723))
SBU WEST,Sports Complex,MULTIPOINT((40.91713872057912 -73.12540079498312))
SBU WEST,Staller Center for the Arts,MULTIPOINT(40.9158454704344 -73.12151762609525)
SBU WEST,Stimson College,MULTIPOINT((40.9117468054808 -73.12919014006057))
SBU WEST,Stony Brook Union,"MULTIPOINT((40.91691625676335 -73.1222219222885), (40.917428766717855 -73.122088262735))"
SBU WEST,Student Activities Center (SAC),"MULTIPOINT((40.914540604495066 -73.12425712395593), (40.91444638847059 -73.12312569056573))"
SBU WEST,Student Health Center,MULTIPOINT((40.91939250397534 -73.12188144279943))
SBU SOUTH,Suffolk Hall,MULTIPOINT((40.90522768298682 -73.12093435329638))
SBU SOUTH,Sullivan Hall,MULTIPOINT((40.90272787154765 -73.1202385033093))
SBU WEST,Tabler Center,MULTIPOINT((40.910120741573365 -73.12699673339064))
SBU WEST,Tabler Quad,MULTIPOINT((40.909429583081476 -73.12723257430395))
SBU WEST,Toscanini College,MULTIPOINT((40.91024101237281 -73.12836195266543))
SBU WEST,Tubman Hall,"MULTIPOINT((40.91704839538511 -73.11890292740476), (40.91700430442011 -73.11970312458729))"
SBU WEST,Van de Graaff Accelerator,MULTIPOINT((40.916087968000824 -73.12445255409341))
SBU WEST,Wagner College,"MULTIPOINT((40.912321449307406 -73.13131556267308), (40.9126237903792 -73.13073531918086))"
SBU WEST,Walter J. Hawrys Campus Recreation Center,"MULTIPOINT((40.91695670658157 -73.12391541550652), (40.91769414940939 -73.12368534306509))"
SBU WEST,West Apartment Complex,MULTIPOINT((40.91356840803637 -73.13553012613377))
SBU WEST,"West Apartments, Building A",MULTIPOINT((40.911663179431734 -73.13243229110643))
SBU WEST,"West Apartments, Building B",MULTIPOINT((40.91185489231128 -73.13394606899898))
SBU WEST,"West Apartments, Building C",MULTIPOINT((40.91207098314476 -73.13328043452186))
SBU WEST,"West Apartments, Building D",MULTIPOINT((40.91222670574045 -73.13273363655401))
SBU WEST,"West Apartments, Building E",MULTIPOINT((40.91230723547635 -73.13427306461358))
SBU WEST,"West Apartments, Building F",MULTIPOINT((40.9120355641327 -73.13529351936012))
SBU WEST,"West Apartments, Building G",MULTIPOINT((40.91307725683498 -73.13555627521541))
SBU WEST,"West Apartments, Building H",MULTIPOINT((40.91305719014613 -73.13479723656557))
SBU WEST,"West Apartments, Building I",MULTIPOINT((40.9133712192713 -73.13455778481155))
SBU WEST,"West Apartments, Building J",MULTIPOINT((40.91126130641494 -73.13525409871427))
SBU WEST,"West Apartments, Building K",MULTIPOINT((40.912394991746034 -73.13618138146572))
SBU WEST,West Side Dining,"MULTIPOINT((40.91305805034297 -73.13068292253531), (40.91305805034297 -73.12987675455405))"
SBU SOUTH,Westchester Hall,MULTIPOINT((40.90273263931234 -73.1201988756162))
SBU WEST,Whitman College,MULTIPOINT((40.910881327933154 -73.12294944995497))
SBU WEST,Yang Hall,MULTIPOINT((40.912270373645164 -73.12911842074372))
